#,Topic,Question,Sources,Tiers,Keep (Y/N),Source 1,URL 1,Source 2,URL 2,Other wordings seen
48,10. Identity & personal,Can you please introduce yourself?,2,agent,,Edwise Foundation (Nepal) — Pre-CAS Interview for Nepali Students,https://edwisefoundation.com/pre-cas-interview-nepali-students/,Leverage Edu Learn — Pre-CAS Interview Prep: Commonly Asked Questions,https://leverageedu.com/learn/visa-pre-cas-interview/,Introduce yourself.
49,9. Visa & compliance,Do you plan to work part-time during your studies?,2,"agent, primary",,Oxford Brookes University — UKVI Credibility interviews,https://www.brookes.ac.uk/students/isat/visas/student-visa/credibility-interviews,UKVisa.blog — UK Student Visa Interview 2025: Best Tips to Show Credibility,https://ukvisa.blog/uk-student-visa-interview/,Do you plan to work part-time in the UK?
50,9. Visa & compliance,Are you planning to work while you are in the UK?,2,primary,,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,
51,9. Visa & compliance,Do you plan to work in the UK?,2,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Road To Abroad — Credibility Interview for UK: Sample Questions and Answers,https://roadtoabroad.co.in/credibility-interview-for-uk/,
52,9. Visa & compliance,Have you had any visas for other countries?,2,"agent, primary",,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,University of Portsmouth — Credibility interviews,https://myport.port.ac.uk/study/international-students/visa-advice/credibility-interviews,Have you had any visas for any other countries?
53,9. Visa & compliance,Have you ever visited the UK before?,2,"agent, primary",,UKVisa.blog — UK Student Visa Interview 2025: Best Tips to Show Credibility,https://ukvisa.blog/uk-student-visa-interview/,University of Bradford — Credibility checks: Student visas,https://www.bradford.ac.uk/international/support/visa-support/student-visas/credibility-checks/,
54,9. Visa & compliance,Have you ever had a visa refusal for the UK or any other country?,2,"agent, primary",,Optimus Global Education — UK Pre-CAS Interview 2026,https://www.optimusglobaledu.com/blogs/uk-pre-cas-interview-guide-2026,University of Bradford — Credibility checks: Student visas,https://www.bradford.ac.uk/international/support/visa-support/student-visas/credibility-checks/,
55,9. Visa & compliance,Do you know how many hours you are allowed to work in the UK?,2,agent,,AEC Overseas — Top UK Student Visa Interview Questions and Answers,https://www.aecoverseas.com/blog/uk-student-visa-interview-questions-answers/,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,Do you know how many hours you are allowed to work?
56,3. Why this course,How will you be assessed?,2,"agent, primary",,Edwise Foundation (Nepal) — Pre-CAS Interview for Nepali Students,https://edwisefoundation.com/pre-cas-interview-nepali-students/,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,How is it assessed?
57,3. Why this course,What do you know about the structure of your course?,2,primary,,Bournemouth University — Credibility interviews: information for international applicants,https://www.bournemouth.ac.uk/students/help-advice/international-students/immigration-visas/student-route-visa/visa-application-credibility-interviews,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,What is the structure of the course?
58,3. Why this course,Do you know what level your course is at?,2,"agent, primary",,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,
59,3. Why this course,Did you consider any other course?,2,"agent, primary",,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,
60,1. Why the UK,What motivated you to choose the UK as your study destination?,2,"agent, primary",,Bournemouth University — Credibility interviews: information for international applicants,https://www.bournemouth.ac.uk/students/help-advice/international-students/immigration-visas/student-route-visa/visa-application-credibility-interviews,University of Plymouth — UKVI credibility interviews,https://www.plymouth.ac.uk/services/international-student-advice/ukvi-credibility-interviews,
61,1. Why the UK,What are the benefits of studying in the UK compared to your home country or USA/Canada/Australia etc.?,2,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,What are the benefits of studying in the UK compared to your home country or USA/Canada/Australia etc?
62,1. Why the UK,Why did you choose to study in the UK?,2,"agent, primary",,NWC Education (Nepal) — Pre-CAS Interview Guide for Nepali Students,https://nwc.education/pre-cas-interview-questions-preparation-for-nepali/,University of Gloucestershire — Credibility interviews (Knowledge Base),https://www.glos.ac.uk/information/knowledge-base/credibility-interviews/,Why did you choose this field of study?
63,2. Why this university,Why did you choose University of Reading over other universities?,2,primary,,University of Lincoln — Pre-CAS Interview | Information for Offer Holders,https://www.lincoln.ac.uk/studywithus/internationalstudents/informationforofferholders/pre-casinterview/,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,Why did you choose the UK? | Why did you choose the University of Lincoln?
64,2. Why this university,Which other institutions did you consider?,2,primary,,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,What other institutions did you consider?
65,2. Why this university,Where is the college / university?,2,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,Where is the college/university? | Why did you choose this university/college?
66,2. Why this university,Do you know roughly how large the college / university is?,2,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,Do you know roughly how large the college/university is?
67,2. Why this university,What facilities are you expecting at the college/university?,2,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,
68,8. Accommodation & living,What research have you undertaken regarding accommodation options?,1,primary,,University of Lincoln — Pre-CAS Interview | Information for Offer Holders,https://www.lincoln.ac.uk/studywithus/internationalstudents/informationforofferholders/pre-casinterview/,,,
69,8. Accommodation & living,Do you plan to live on or off campus? Why?,1,primary,,University of Lincoln — Pre-CAS Interview | Information for Offer Holders,https://www.lincoln.ac.uk/studywithus/internationalstudents/informationforofferholders/pre-casinterview/,,,
70,8. Accommodation & living,How far is your preferred accommodation from the University?,1,primary,,University of Lincoln — Pre-CAS Interview | Information for Offer Holders,https://www.lincoln.ac.uk/studywithus/internationalstudents/informationforofferholders/pre-casinterview/,,,
71,8. Accommodation & living,How will you travel to classes?,1,primary,,University of Lincoln — Pre-CAS Interview | Information for Offer Holders,https://www.lincoln.ac.uk/studywithus/internationalstudents/informationforofferholders/pre-casinterview/,,,
72,8. Accommodation & living,What do you know about Oxford as a place to live and study?,1,primary,,Oxford Brookes University — UKVI Credibility interviews,https://www.brookes.ac.uk/students/isat/visas/student-visa/credibility-interviews,,,
73,8. Accommodation & living,How will you travel to and from the university?,1,primary,,Oxford Brookes University — UKVI Credibility interviews,https://www.brookes.ac.uk/students/isat/visas/student-visa/credibility-interviews,,,
